File|SC Insert (ms)|SC Get (ms)|OA Insert (ms)|OA Get (ms)|Word Count
anonymous-beowulf-543.txt|14.6|2.271694684234439E-4|14.2|0.0033166742389822805|25693
apoc10.txt|75.0|1.1259676284306826E-4|75.4|0.008078817733990145|149515
apoc9.txt|72.8|1.4742739200943535E-4|70.8|0.00796107916850951|147393
arabn10.txt|55.4|1.853854472423915E-4|54.2|0.007044646995210875|111348
arabn11.txt|55.6|1.4847809948032666E-4|54.4|0.007126948775055679|113033
asprn10.txt|20.8|8.389261744966443E-5|20.2|0.0036073825503355706|40568
attic10.txt|15.0|1.6632016632016632E-4|15.0|0.00395010395010395|29438
atw80d.txt|34.8|1.7283594987757455E-4|33.2|0.007835229727783378|63869
austen-emma-754.txt|80.2|1.5081331466120868E-4|80.2|0.00702359151136486|158172
austen-northanger-755.txt|38.0|2.1545090797168363E-4|38.2|0.006309633733456448|77137
austen-persuasion-756.txt|43.0|1.6739203213927018E-4|39.6|0.00572480749916304|83320
austen-pride-757.txt|62.6|9.189768724153776E-5|62.0|0.0063409404196661055|123774
austen-sense-758.txt|61.8|1.3273161667109106E-4|58.4|0.008123174940270771|120262
avon10.txt|46.2|1.7818505791014383E-4|44.8|0.009189257986508844|90358
awakn11.txt|33.8|1.8954779312212292E-4|34.0|0.008610885458976442|65756
badge10.txt|25.4|2.713295146216461E-4|25.0|0.006692794694000604|47575
barrie-peter-277.txt|24.4|1.6383370878558264E-4|22.2|0.004013925865246774|47151
baum-marvelous-278.txt|22.2|1.7857142857142857E-4|22.2|0.00375|42319
baum-wonderful-282.txt|17.4|2.0290835306053433E-4|19.0|0.003584714237402773|39542
behn-oroonoko-283.txt|14.4|1.656086116478057E-4|13.8|0.0039194038089980674|29154
behn-rover-284.txt|31.8|1.4643968515467692E-4|31.0|0.005637927878455061|59629
bells.txt|2.0|1.6764459346186087E-4|1.8|0.001341156747694887|4357
benito_cereno.txt|17.4|2.5389916575988393E-4|16.4|0.004425099746100834|31524
bible10.txt|402.8|7.87463579809434E-5|376.2|0.011764705882352941|789777
bierce-can-285.txt|32.2|1.6476403436507003E-4|31.4|0.01014475697304931|60928
bierce-can-547.txt|31.0|2.1183947275509003E-4|44.8|0.014099093797810991|60928
bierce-devils-286.txt|51.2|2.6838432635534085E-4|33.6|0.010162819824655573|60461
billy_budd.txt|17.6|1.709986320109439E-4|16.8|0.005540355677154582|30248
black_riders.txt|1.8|0.0|2.0|0.0012773722627737226|3959
blexp10.txt|54.4|2.2282743253280516E-4|48.6|0.0101015102748205|77953
blue_hotel.txt|4.6|1.6576875259013675E-4|4.6|0.0026523000414421885|10681
bronte-jane-178.txt|97.4|1.9635979155652894E-4|95.2|0.013246733630390453|186700
bronte-wuthering-179.txt|64.0|1.827318410232983E-4|62.4|0.011365920511649155|117575
browning-dramatic-287.txt|15.2|2.7100271002710027E-4|13.2|0.004645760743321719|24181
buchan-thirty-290.txt|21.0|1.4537524986371072E-4|20.6|0.005378884244957296|40813
bucoe10.txt|5.4|7.385524372230429E-5|5.2|0.0029542097488921715|9982
bulwer-last-566.txt|79.8|2.220703792278784E-4|79.6|0.009805261359754014|151689
bunyan-pilgrims-304.txt|29.6|1.828989483310471E-4|27.0|0.0035208047553726566|56700
burke-reflections-307.txt|54.8|1.2918505759500486E-4|50.2|0.007083647324792766|98094
burnett-sara-308.txt|7.6|1.7233950883239983E-4|7.2|0.0022404136148211976|16676
burnett-secret-313.txt|42.0|1.1011194714626537E-4|41.2|0.0046614057625252335|80739
burton-arabian-363.txt|110.4|1.6469942355201757E-4|109.0|0.009406167078415226|214659
butler-way-362.txt|83.2|2.62886113979908E-4|82.2|0.0091446812505868|162419
byron-don-315.txt|68.4|2.210759027266028E-4|65.2|0.014502579218865145|126884
callw10.txt|18.0|1.5429122468659597E-4|16.4|0.00420443587270974|33492
callwild.txt|16.8|1.6549441456350847E-4|16.6|0.003764997931319818|31776
cansuch.txt|33.0|1.879478444731587E-4|36.6|0.007001057206625162|60960
canterbu.txt|51.2|1.771479185119575E-4|52.8|0.007595217006200178|99095
carol10.txt|14.4|2.158894645941278E-4|16.0|0.0036269430051813468|29710
carroll-alices-99.txt|13.8|2.1826118588577664E-4|12.2|0.0030556566024008735|26404
carroll-hunting-100.txt|2.0|1.3764624913971093E-4|2.2|0.0017894012388162419|4993
carroll-through-101.txt|14.6|1.4064697609001407E-4|13.8|0.0033052039381153303|29421
cather-alexanders-365.txt|15.6|2.008032128514056E-4|15.2|0.004969879518072289|28698
cather-o-366.txt|33.6|1.9973368841544607E-4|27.4|0.006358189081225034|55946
cather-song-367.txt|79.0|1.5000000000000001E-4|81.4|0.0127|153322
center_earth.txt|44.0|2.325280971450717E-4|44.8|0.008758558325797701|85941
charlema.txt|43.2|2.1479393207141898E-4|41.4|0.008457511075312122|83606
chaucer-canterbury-102.txt|49.6|1.550044286979628E-4|52.8|0.007905225863596103|99095
chilc10.txt|25.2|1.429592566118656E-4|23.8|0.0053371455801763164|50452
child10.txt|4.8|1.778568252556692E-4|4.8|0.00213428190306803|9792
chivalry.txt|67.4|2.332237888264603E-4|66.8|0.006954309339552633|135534
civil10.txt|4.4|9.945300845350572E-5|4.2|0.0015912481352560915|9303
civildis.txt|4.4|2.997002997002997E-4|4.2|0.0014985014985014985|9394
cleland-fanny-368.txt|43.2|1.7742293191394987E-4|45.2|0.008161454868041696|85073
clotl10.txt|24.6|1.6611295681063124E-4|25.8|0.005514950166112957|47275
coleridge-christabel-369.txt|2.2|0.0|2.2|0.0014365522745411015|4485
coleridge-kubla-370.txt|0.2|0.0|0.2|0.0|358
coleridge-rime-371.txt|2.0|1.8315018315018315E-4|1.4|0.001282051282051282|3845
comsn10.txt|12.4|1.0629816635663034E-4|11.8|0.004198777571086899|23237
conrad-heart-372.txt|20.8|2.732707087959009E-4|20.0|0.005567890691716482|38937
conrad-lord-373.txt|67.6|1.3992129427197202E-4|67.2|0.011386095321381722|130752
conrad-secret-555.txt|7.8|2.0215633423180594E-4|7.8|0.003436657681940701|16840
crane-black-374.txt|1.8|0.0|2.0|9.124087591240876E-4|3959
crane-blue-375.txt|5.2|1.6576875259013675E-4|5.0|0.0023207625362619147|10681
crane-red-376.txt|24.4|2.2029897718332022E-4|23.6|0.006168371361132967|46131
crane-war-377.txt|1.2|0.0|1.4|8.528784648187633E-4|2468
hamlet.txt|18.6|1.9860973187686197E-4|19.0|0.004806355511420059|34109
the-new-atlantis.txt|8.2|1.931123270035404E-4|9.4|0.003926617315738655|17578
